flow_uuid|flow_name|contact_uuid|path
 63887141-3e57-4117-bbb2-fd2a6eb56c26 | Single Message (851)               | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 9ef300a2-8427-41bf-886b-e8c60e390c59 | Single Message (850)               | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 7db0f036-382f-4e0c-9a90-19c1707e390a | Single Message (852)               | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 276ba896-e9c8-4cf1-a019-4865541e2ed4 | Single Message (853)               | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 740e1e47-b76f-45c5-92ba-a5b29f1c0df6 | AssignRemGroup                     | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 0ddaa26b-533d-4221-8327-7c4ade6fa8a6 | b_development_w3_d7                | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 50fda170-fae6-46a8-8524-c84f5066aab3 | Sample Flow - Order Status Checker | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 c2cd0ac8-2f3f-4284-8d64-cb4e5b2bfc13 | Sample Flow - Satisfaction Survey  | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 d55a1f76-ccb8-4aec-9a30-f1a3bbaa7656 | Sample Flow - Simple Poll          | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
 54e01e59-b226-4707-8cd3-fd681409fb98 | labor_prep14                       | f92d1d2c-722c-4714-b14e-4b2aa5bd0bba | [{"node_uuid": "ad050843-1ef6-4b27-8175-ba231ffc0296", "arrived_on": "2017-12-08T21:55:24.105482+00:00", "exit_uuid": "12822cc7-f6b2-4364-bc0c-f63929f53116"}, {"node_uuid": "043f1271-189c-449d-b1e2-da6287f30a5f", "arrived_on": "2017-12-08T21:55:24.636792+00:00", "exit_uuid": "aeca2939-56c7-4e82-a6f4-0470fe5fdd02"}, {"node_uuid": "7aea0b38-681a-41a6-ae6f-d621e225bb75", "arrived_on": "2017-12-08T21:55:24.997974+00:00", "exit_uuid": null}]
